21724 || Initialization 83
21724 || 83 | 112 | 118 || 0.100000 0.099833 0.000000 2
21724 || 83 | 119 | 125 || 0.100000 0.198669 0.000000 2
21724 || 83 | 112 | 118 || 0.200000 0.198669 0.000000 2
21724 || 83 | 119 | 125 || 0.200000 0.389418 0.000000 2
21724 || 83 | 112 | 118 || 0.300000 0.295520 0.000000 2
21724 || 83 | 119 | 125 || 0.300000 0.564642 0.000000 2
21724 || 83 | 112 | 118 || 0.400000 0.389418 0.000000 2
21724 || 83 | 119 | 125 || 0.400000 0.717356 0.000000 2
21724 || 83 | 112 | 118 || 0.500000 0.479426 0.000000 2
21724 || 83 | 119 | 125 || 0.500000 0.841471 0.000000 2
21724 || 83 | 112 | 118 || 0.600000 0.564642 0.000000 2
21724 || 83 | 119 | 125 || 0.600000 0.932039 0.000000 2
21724 || 83 | 112 | 118 || 0.700000 0.644218 0.000000 2
21724 || 83 | 119 | 125 || 0.700000 0.985450 0.000000 2
21724 || 83 | 112 | 118 || 0.800000 0.717356 0.000000 2
21724 || 83 | 119 | 125 || 0.800000 0.999574 0.000000 2
21724 || 83 | 112 | 118 || 0.900000 0.783327 0.000000 2
21724 || 83 | 119 | 125 || 0.900000 0.973848 0.000000 2
21724 || 83 | 112 | 118 || 1.000000 0.841471 0.000000 2
21724 || 83 | 119 | 125 || 1.000000 0.909297 0.000000 2
21724 || 83 | 112 | 118 || 1.100000 0.891207 0.000000 2
21724 || 83 | 119 | 125 || 1.100000 0.808496 0.000000 2
21724 || 83 | 112 | 118 || 1.200000 0.932039 0.000000 2
21724 || 83 | 119 | 125 || 1.200000 0.675463 0.000000 2
21724 || 83 | 112 | 118 || 1.300000 0.963558 0.000000 2
21724 || 83 | 119 | 125 || 1.300000 0.515501 0.000000 2
21724 || 83 | 112 | 118 || 1.400000 0.985450 0.000000 2
21724 || 83 | 119 | 125 || 1.400000 0.334988 0.000000 2
21724 || 83 | 112 | 118 || 1.500000 0.997495 0.000000 2
21724 || 83 | 119 | 125 || 1.500000 0.141120 0.000000 2
21724 || 83 | 112 | 118 || 1.600000 0.999574 0.000000 2
21724 || 83 | 119 | 125 || 1.600000 -0.058374 0.000000 2
21724 || 83 | 112 | 118 || 1.700000 0.991665 0.000000 2
